canonical_name,category,parent,learning_cost,esco_id,aliases_zh,aliases_en,description
Flink,data,-,high,-,-,flink|apache flink,流计算引擎
PyTorch,serving,-,mid,-,-,pytorch|torch,深度学习框架
TensorFlow,serving,-,mid,-,-,tensorflow,深度学习框架
scikit-learn,serving,-,low,-,机器学习库,scikit-learn|sklearn,经典机器学习库
Hugging Face,serving,-,low,-,-,hugging face|huggingface,模型社区与库
LlamaIndex,retrieval,-,mid,-,-,llamaindex|llama index,数据编排检索框架
Coze,engineering,-,low,-,扣子,coze,字节 Bot 开发平台
Embedding,retrieval,-,mid,-,向量化|向量表示,embedding|embeddings,文本向量化
多智能体协作,agent_framework,-,mid,-,多Agent协作|多智能体,multi-agent|multi agent|multi-agent system,多 Agent 系统协作
推理优化,serving,-,high,-,推理加速|模型加速,inference optimization|inference acceleration,推理性能优化
